Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,Utility,Team
2009 AL,Buehrle · CHW,Mauer · MIN,Teixeira · NYY,Polanco · DET,Longoria · TBR,Jeter · NYY,Hunter · LAA,Suzuki · SEA,Jones · BAL,,
2008 AL,Mussina · NYY,Mauer · MIN,Peña · TBR,Pedroia · BOS,Beltré · SEA,Young · TEX,Sizemore · CLE,Suzuki · SEA,Hunter · LAA,,
2007 AL,Santana · MIN,Rodríguez · DET,Youkilis · BOS,Polanco · DET,Beltré · SEA,Cabrera · LAA,Suzuki · SEA,Sizemore · CLE,Hunter · MIN,,
2006 AL,Rogers · DET,Rodríguez · DET,Teixeira · TEX,Grudzielanek · KCR,Chavez · OAK,Jeter · NYY,Hunter · MIN,Suzuki · SEA,Wells · TOR,,
2005 AL,Rogers · TEX,Varitek · BOS,Teixeira · TEX,Hudson · TOR,Chavez · OAK,Jeter · NYY,Suzuki · SEA,Wells · TOR,Hunter · MIN,,
2004 AL,Rogers · TEX,Rodríguez · DET,Erstad · ANA,Boone · SEA,Chavez · OAK,Jeter · NYY,Hunter · MIN,Wells · TOR,Suzuki · SEA,,
2003 AL,Mussina · NYY,Molina · ANA,Olerud · SEA,Boone · SEA,Chavez · OAK,Rodriguez · TEX,Hunter · MIN,Cameron · SEA,Suzuki · SEA,,
2002 AL,Rogers · TEX,Molina · ANA,Olerud · SEA,Boone · SEA,Chavez · OAK,Rodriguez · TEX,Suzuki · SEA,Hunter · MIN,Erstad · ANA,,
2001 AL,Mussina · NYY,Rodríguez · TEX,Mientkiewicz · MIN,Alomar · CLE,Chavez · OAK,Vizquel · CLE,Cameron · SEA,Suzuki · SEA,Hunter · MIN,,
2000 AL,Rogers · TEX,Rodríguez · TEX,Olerud · SEA,Alomar · CLE,Fryman · CLE,Vizquel · CLE,Dye · KCR,Williams · NYY,Erstad · ANA,,
1999 AL,Mussina · BAL,Rodríguez · TEX,Palmeiro · TEX,Alomar · CLE,Brosius · NYY,Vizquel · CLE,Green · TOR,Griffey · SEA,Williams · NYY,,
1998 AL,Mussina · BAL,Rodríguez · TEX,Palmeiro · BAL,Alomar · BAL,Ventura · CHW,Vizquel · CLE,Griffey · SEA,Williams · NYY,Edmonds · ANA,,
1997 AL,Mussina · BAL,Rodríguez · TEX,Palmeiro · BAL,Knoblauch · MIN,Williams · CLE,Vizquel · CLE,Edmonds · ANA,Griffey · SEA,Williams · NYY,,
1996 AL,Mussina · BAL,Rodríguez · TEX,Snow · CAL,Alomar · BAL,Ventura · CHW,Vizquel · CLE,Lofton · CLE,Buhner · SEA,Griffey · SEA,,
1995 AL,Langston · CAL,Rodríguez · TEX,Snow · CAL,Alomar · TOR,Boggs · NYY,Vizquel · CLE,Lofton · CLE,White · TOR,Griffey · SEA,,
1994 AL,Langston · CAL,Rodríguez · TEX,Mattingly · NYY,Alomar · TOR,Boggs · NYY,Vizquel · CLE,Lofton · CLE,White · TOR,Griffey · SEA,,
1993 AL,Langston · CAL,Rodríguez · TEX,Mattingly · NYY,Alomar · TOR,Ventura · CHW,Vizquel · SEA,Griffey · SEA,Lofton · CLE,White · TOR,,
1992 AL,Langston · CAL,Rodríguez · TEX,Mattingly · NYY,Alomar · TOR,Ventura · CHW,Ripken · BAL,Puckett · MIN,Griffey · SEA,White · TOR,,
1991 AL,Langston · CAL,Peña · BOS,Mattingly · NYY,Alomar · TOR,Ventura · CHW,Ripken · BAL,Puckett · MIN,Griffey · SEA,White · TOR,,
1990 AL,Boddicker · BOS,Alomar · CLE,McGwire · OAK,Reynolds · SEA,Gruber · TOR,Guillén · CHW,Griffey · SEA,Burks · BOS,Pettis · TEX,,
1989 AL,Saberhagen · KCR,Boone · KCR,Mattingly · NYY,Reynolds · SEA,Gaetti · MIN,Fernández · TOR,Puckett · MIN,White · CAL,Pettis · DET,,
1988 AL,Langston · SEA,Boone · CAL,Mattingly · NYY,Reynolds · SEA,Gaetti · MIN,Fernández · TOR,Puckett · MIN,White · CAL,Pettis · DET,,
1987 AL,Langston · SEA,Boone · CAL,Mattingly · NYY,White · KCR,Gaetti · MIN,Fernández · TOR,Puckett · MIN,Barfield · TOR,Winfield · NYY,,
1986 AL,Guidry · NYY,Boone · CAL,Mattingly · NYY,White · KCR,Gaetti · MIN,Fernández · TOR,Barfield · TOR,Puckett · MIN,Pettis · CAL,,
1985 AL,Guidry · NYY,Parrish · DET,Mattingly · NYY,Whitaker · DET,Brett · KCR,Griffin · OAK,Murphy · OAK,Pettis · CAL,Winfield · NYY,Evans (OF) · BOS,
1984 AL,Guidry · NYY,Parrish · DET,Murray · BAL,Whitaker · DET,Bell · TEX,Trammell · DET,Winfield · NYY,Murphy · OAK,Evans · BOS,,
1983 AL,Guidry · NYY,Parrish · DET,Murray · BAL,Whitaker · DET,Bell · TEX,Trammell · DET,Evans · BOS,Murphy · OAK,Winfield · NYY,,
1982 AL,Guidry · NYY,Boone · CAL,Murray · BAL,White · KCR,Bell · TEX,Yount · MIL,Evans · BOS,Murphy · OAK,Winfield · NYY,,
1981 AL,Norris · OAK,Sundberg · TEX,Squires · CHW,White · KCR,Bell · TEX,Trammell · DET,Evans · BOS,Murphy · OAK,Henderson · OAK,,
1980 AL,Norris · OAK,Sundberg · TEX,Cooper · MIL,White · KCR,Bell · TEX,Trammell · DET,Murphy · OAK,Wilson · KCR,Lynn · BOS,,
1979 AL,Palmer · BAL,Sundberg · TEX,Cooper · MIL,White · KCR,Bell · TEX,Burleson · BOS,Lynn · BOS,Lezcano · MIL,Evans · BOS,,
1978 AL,Palmer · BAL,Sundberg · TEX,Chambliss · NYY,White · KCR,Nettles · NYY,Belanger · BAL,Lynn · BOS,Miller · CAL,Evans · BOS,,
1977 AL,Palmer · BAL,Sundberg · TEX,Spencer · CHW,White · KCR,Nettles · NYY,Belanger · BAL,Cowens · KCR,Yastrzemski · BOS,Beníquez · TEX,,
1976 AL,Palmer · BAL,Sundberg · TEX,Scott · MIL,Grich · BAL,Rodríguez · DET,Belanger · BAL,Evans · BOS,Rudi · OAK,Manning · CLE,,
1975 AL,Kaat · CHW,Munson · NYY,Scott · MIL,Grich · BAL,Robinson · BAL,Belanger · BAL,Rudi · OAK,Lynn · BOS,Blair · BAL,,
1974 AL,Kaat · CHW,Munson · NYY,Scott · MIL,Grich · BAL,Robinson · BAL,Belanger · BAL,Blair · BAL,Rudi · OAK,Otis · KCR,,
1973 AL,Kaat · 2tm,Munson · NYY,Scott · MIL,Grich · BAL,Robinson · BAL,Belanger · BAL,Otis · KCR,Blair · BAL,Stanley · DET,,
1972 AL,Kaat · MIN,Fisk · BOS,Scott · MIL,Griffin · BOS,Robinson · BAL,Brinkman · DET,Berry · CAL,Murcer · NYY,Blair · BAL,,
1971 AL,Kaat · MIN,Fosse · CLE,Scott · BOS,Johnson · BAL,Robinson · BAL,Belanger · BAL,Blair · BAL,Otis · KCR,Yastrzemski · BOS,,
1970 AL,Kaat · MIN,Fosse · CLE,Spencer · CAL,Johnson · BAL,Robinson · BAL,Aparicio · CHW,Berry · CHW,Blair · BAL,Stanley · DET,,
1969 AL,Kaat · MIN,Freehan · DET,Pepitone · NYY,Johnson · BAL,Robinson · BAL,Belanger · BAL,Yastrzemski · BOS,Stanley · DET,Blair · BAL,,
1968 AL,Kaat · MIN,Freehan · DET,Scott · BOS,Knoop · CAL,Robinson · BAL,Aparicio · CHW,Stanley · DET,Smith · BOS,Yastrzemski · BOS,,
1967 AL,Kaat · MIN,Freehan · DET,Scott · BOS,Knoop · CAL,Robinson · BAL,Fregosi · CAL,Blair · BAL,Kaline · DET,Yastrzemski · BOS,,
1966 AL,Kaat · MIN,Freehan · DET,Pepitone · NYY,Knoop · CAL,Robinson · BAL,Aparicio · BAL,Agee · CHW,Kaline · DET,Oliva · MIN,,
1965 AL,Kaat · MIN,Freehan · DET,Pepitone · NYY,Richardson · NYY,Robinson · BAL,Versalles · MIN,Yastrzemski · BOS,Kaline · DET,Tresh · NYY,,
1964 AL,Kaat · MIN,Howard · NYY,Power · 2tm,Richardson · NYY,Robinson · BAL,Aparicio · BAL,Davalillo · CLE,Landis · CHW,Kaline · DET,,
1963 AL,Kaat · MIN,Howard · NYY,Power · MIN,Richardson · NYY,Robinson · BAL,Versalles · MIN,Kaline · DET,Landis · CHW,Yastrzemski · BOS,,
1962 AL,Kaat · MIN,Battey · MIN,Power · MIN,Richardson · NYY,Robinson · BAL,Aparicio · CHW,Landis · CHW,Kaline · DET,Mantle · NYY,,
1961 AL,Lary · DET,Battey · MIN,Power · CLE,Richardson · NYY,Robinson · BAL,Aparicio · CHW,Piersall · CLE,Landis · CHW,Kaline · DET,,
1960 AL,Shantz · NYY,Battey · WSH,Power · CLE,Fox · CHW,Robinson · BAL,Aparicio · CHW,Miñoso · CHW,Maris · NYY,Landis · CHW,,
1959 AL,Shantz · NYY,Lollar · CHW,Power · CLE,Fox · CHW,Malzone · BOS,Aparicio · CHW,Kaline · DET,Jensen · BOS,Miñoso · CLE,,
1958 AL,Shantz · NYY,Lollar · CHW,Power · 2tm,Bolling · DET,Malzone · BOS,Aparicio · CHW,Siebern · NYY,Kaline · DET,Piersall · BOS,,
1957 ML,Shantz · NYY,Lollar · CHW,Hodges · BRO,Fox · CHW,Malzone · BOS,McMillan · CIN,Kaline · DET,Miñoso · CHW,Mays · NYG,,
