Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
2001 NL,Hampton · COL,Piazza · NYM,Helton · COL,Kent · SFG,Pujols · STL,Aurilia · SFG,Gonzalez · ARI,Sosa · CHC,Bonds · SFG,,
2000 NL,Hampton · NYM,Piazza · NYM,Helton · COL,Kent · SFG,Jones · ATL,Rentería · STL,Sosa · CHC,Bonds · SFG,Guerrero · MON,,
1999 NL,Hampton · HOU,Piazza · NYM,Bagwell · HOU,Alfonzo · NYM,Jones · ATL,Larkin · CIN,Sosa · CHC,Guerrero · MON,Walker · COL,,
1998 NL,Glavine · ATL,Piazza · 3tm,McGwire · STL,Biggio · HOU,Castilla · COL,Larkin · CIN,Vaughn · SDP,Alou · HOU,Sosa · CHC,,
1997 NL,Smoltz · ATL,Piazza · LAD,Bagwell · HOU,Biggio · HOU,Castilla · COL,Blauser · ATL,Bonds · SFG,Gwynn · SDP,Walker · COL,,
1996 NL,Glavine · ATL,Piazza · LAD,Galarraga · COL,Young · COL,Caminiti · SDP,Larkin · CIN,Bonds · SFG,Sheffield · FLA,Burks · COL,,
1995 NL,Glavine · ATL,Piazza · LAD,Karros · LAD,Biggio · HOU,Castilla · COL,Larkin · CIN,Gwynn · SDP,Sosa · CHC,Bichette · COL,,
1994 NL,Portugal · SFG,Piazza · LAD,Bagwell · HOU,Biggio · HOU,Williams · SFG,Cordero · MON,Gwynn · SDP,Bonds · SFG,Alou · MON,,
1993 NL,Hershiser · LAD,Piazza · LAD,McGriff · 2tm,Thompson · SFG,Williams · SFG,Bell · PIT,Dykstra · PHI,Bonds · SFG,Justice · ATL,,
1992 NL,Gooden · NYM,Daulton · PHI,McGriff · SDP,Sandberg · CHC,Sheffield · SDP,Larkin · CIN,Bonds · PIT,Van Slyke · PIT,Walker · MON,,
1991 NL,Glavine · ATL,Santiago · SDP,Clark · SFG,Sandberg · CHC,Johnson · NYM,Larkin · CIN,Bonds · PIT,Gant · ATL,Bonilla · PIT,,
1990 NL,Robinson · SFG,Santiago · SDP,Murray · LAD,Sandberg · CHC,Williams · SFG,Larkin · CIN,Bonds · PIT,Bonilla · PIT,Strawberry · NYM,,
1989 NL,Robinson · SFG,Biggio · HOU,Clark · SFG,Sandberg · CHC,Johnson · NYM,Larkin · CIN,Gwynn · SDP,Davis · CIN,Mitchell · SFG,,
1988 NL,Leary · LAD,Santiago · SDP,Galarraga · MON,Sandberg · CHC,Bonilla · PIT,Larkin · CIN,Strawberry · NYM,Gibson · LAD,Van Slyke · PIT,,
1987 NL,Forsch · STL,Santiago · SDP,Clark · STL,Samuel · PHI,Wallach · MON,Smith · STL,Dawson · CHC,Gwynn · SDP,Davis · CIN,,
1986 NL,Rhoden · PIT,Carter · NYM,Davis · HOU,Sax · LAD,Schmidt · PHI,Brooks · MON,Raines · MON,Parker · CIN,Gwynn · SDP,,
1985 NL,Rhoden · PIT,Carter · NYM,Clark · STL,Sandberg · CHC,Wallach · MON,Brooks · MON,McGee · STL,Parker · CIN,Murphy · ATL,,
1984 NL,Rhoden · PIT,Carter · MON,Hernandez · NYM,Sandberg · CHC,Schmidt · PHI,Templeton · SDP,Murphy · ATL,Gwynn · SDP,Cruz · HOU,,
1983 NL,Valenzuela · LAD,Kennedy · SDP,Hendrick · STL,Ray · PIT,Schmidt · PHI,Thon · HOU,Cruz · HOU,Dawson · MON,Murphy · ATL,,
1982 NL,Robinson · PIT,Carter · MON,Oliver · MON,Morgan · SFG,Schmidt · PHI,Concepción · CIN,Durham · CHC,Guerrero · LAD,Murphy · ATL,,
1981 NL,Valenzuela · LAD,Carter · MON,Rose · PHI,Trillo · PHI,Schmidt · PHI,Concepción · CIN,Dawson · MON,Foster · CIN,Baker · LAD,,
1980 NL,Forsch · STL,Simmons · STL,Hernandez · STL,Trillo · PHI,Schmidt · PHI,Templeton · STL,Dawson · MON,Hendrick · STL,Baker · LAD,,
