Year & Common,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
2013 AL,Mauer · MIN,Davis · BAL,Canó · NYY,Cabrera · DET,Hardy · BAL,Hunter · DET,Jones · BAL,Trout · LAA,Ortiz · BOS,
2012 AL,Pierzynski · CHW,Fielder · DET,Canó · NYY,Cabrera · DET,Jeter · NYY,Trout · LAA,Willingham · MIN,Hamilton · TEX,Butler · KCR,
2011 AL,Avila · DET,González · BOS,Canó · NYY,Beltré · TEX,Cabrera · CLE,Granderson · NYY,Ellsbury · BOS,Bautista · TOR,Ortiz · BOS,
2010 AL,Mauer · MIN,Cabrera · DET,Canó · NYY,Beltré · BOS,Ramírez · CHW,Bautista · TOR,Hamilton · TEX,Crawford · TBR,Guerrero · TEX,
2009 AL,Mauer · MIN,Teixeira · NYY,Hill · TOR,Longoria · TBR,Jeter · NYY,Bay · BOS,Suzuki · SEA,Hunter · LAA,Lind · TOR,
2008 AL,Mauer · MIN,Morneau · MIN,Pedroia · BOS,Rodriguez · NYY,Jeter · NYY,Sizemore · CLE,Quentin · CHW,Hamilton · TEX,Huff · BAL,
2007 AL,Posada · NYY,Peña · TBD,Polanco · DET,Rodriguez · NYY,Jeter · NYY,Ordóñez · DET,Suzuki · SEA,Guerrero · LAA,Ortiz · BOS,
2006 AL,Mauer · MIN,Morneau · MIN,Canó · NYY,Crede · CHW,Jeter · NYY,Dye · CHW,Guerrero · LAA,Ramirez · BOS,Ortiz · BOS,
2005 AL,Varitek · BOS,Teixeira · TEX,Soriano · TEX,Rodriguez · NYY,Tejada · BAL,Ramirez · BOS,Sheffield · NYY,Guerrero · LAA,Ortiz · BOS,
2004 AL,Martínez · CLE Rodríguez · DET,Teixeira · TEX,Soriano · TEX,Mora · BAL,Tejada · BAL,Sheffield · NYY,Guerrero · ANA,Ramirez · BOS,Ortiz · BOS,
2003 AL,Posada · NYY,Delgado · TOR,Boone · SEA,Mueller · BOS,Rodriguez · TEX,Ramirez · BOS,Wells · TOR,Anderson · ANA,Martínez · SEA,
2002 AL,Posada · NYY,Giambi · NYY,Soriano · NYY,Chavez · OAK,Rodriguez · TEX,Anderson · ANA,Ordóñez · CHW,Williams · NYY,Ramirez · BOS,
2001 AL,Posada · NYY,Giambi · OAK,Boone · SEA,Glaus · ANA,Rodriguez · TEX,González · CLE,Ramirez · BOS,Suzuki · SEA,Martínez · SEA,
2000 AL,Posada · NYY,Delgado · TOR,Alomar · CLE,Glaus · ANA,Rodriguez · SEA,Erstad · ANA,Ordóñez · CHW,Ramirez · CLE,Thomas · CHW,
1999 AL,Rodríguez · TEX,Delgado · TOR,Alomar · CLE,Palmer · DET,Rodriguez · SEA,Griffey · SEA,Ramirez · CLE,Green · TOR,Palmeiro · TEX,
1998 AL,Rodríguez · TEX,Palmeiro · BAL,Easley · DET,Palmer · KCR,Rodriguez · SEA,González · TEX,Griffey · SEA,Belle · CHW,Canseco · TOR,
1997 AL,Rodríguez · TEX,Martinez · NYY,Knoblauch · MIN,Williams · CLE,Garciaparra · BOS,Justice · CLE,González · TEX,Griffey · SEA,Martínez · SEA,
1996 AL,Rodríguez · TEX,McGwire · OAK,Alomar · BAL,Thome · CLE,Rodriguez · SEA,González · TEX,Griffey · SEA,Belle · CLE,Molitor · MIN,
1995 AL,Rodríguez · TEX,Vaughn · BOS,Knoblauch · MIN,Gaetti · KCR,Valentin · BOS,Ramirez · CLE,Salmon · CAL,Belle · CLE,Martínez · SEA,
1994 AL,Rodríguez · TEX,Thomas · CHW,Baerga · CLE,Boggs · NYY,Ripken · BAL,Puckett · MIN,Belle · CLE,Griffey · SEA,Franco · CHW,
1993 AL,Stanley · NYY,Thomas · CHW,Baerga · CLE,Boggs · NYY,Ripken · BAL,Griffey · SEA,González · TEX,Belle · CLE,Molitor · TOR,
1992 AL,Tettleton · DET,McGwire · OAK,Alomar · TOR,Martínez · SEA,Fryman · DET,González · TEX,Puckett · MIN,Carter · TOR,Winfield · TOR,
1991 AL,Tettleton · DET,Fielder · DET,Franco · TEX,Boggs · BOS,Ripken · BAL,Canseco · OAK,Griffey · SEA,Carter · TOR,Thomas · CHW,
1990 AL,Parrish · CAL,Fielder · DET,Franco · TEX,Gruber · TOR,Trammell · DET,Canseco · OAK,Burks · BOS,Henderson · OAK,Parker · MIL,
1989 AL,Tettleton · BAL,McGriff · TOR,Franco · TEX,Boggs · BOS,Ripken · BAL,Puckett · MIN,Yount · MIL,Sierra · TEX,Baines · 2tm,
1988 AL,Fisk · CHW,Brett · KCR,Franco · CLE,Boggs · BOS,Trammell · DET,Puckett · MIN,Greenwell · BOS,Canseco · OAK,Molitor · MIL,
1987 AL,Nokes · DET,Mattingly · NYY,Whitaker · DET,Boggs · BOS,Trammell · DET,Evans · BOS,Bell · TOR,Puckett · MIN,Molitor · MIL,
1986 AL,Parrish · DET,Mattingly · NYY,White · KCR,Boggs · BOS,Ripken · BAL,Bell · TOR,Barfield · TOR,Puckett · MIN,Baylor · BOS,
1985 AL,Fisk · CHW,Mattingly · NYY,Whitaker · DET,Brett · KCR,Ripken · BAL,Winfield · NYY,Bell · TOR,Henderson · NYY,Baylor · NYY,
1984 AL,Parrish · DET,Murray · BAL,Whitaker · DET,Bell · TEX,Ripken · BAL,Rice · BOS,Armas · BOS,Winfield · NYY,Thornton · CLE,
1983 AL,Parrish · DET,Murray · BAL,Whitaker · DET,Boggs · BOS,Ripken · BAL,Winfield · NYY,Moseby · TOR,Rice · BOS,Baylor · NYY,
1982 AL,Parrish · DET,Cooper · MIL,García · TOR,DeCinces · CAL,Yount · MIL,Jackson · CAL,Wilson · KCR,Winfield · NYY,McRae · KCR,
1981 AL,Fisk · CHW,Cooper · MIL,Grich · CAL,Lansford · BOS,Burleson · CAL,Winfield · NYY,Henderson · OAK,Evans · BOS,Oliver · TEX,
1980 AL,Parrish · DET,Cooper · MIL,Randolph · NYY,Brett · KCR,Yount · MIL,Oliver · TEX,Wilson · KCR,Oglivie · MIL,Jackson · NYY,
